Name,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti,CNG LXI R Wagon,Mumbai,2010,72000,CNG,Manual,First,37.24,998.0,58.16,5.0,0,1932.0874999999999
Hyundai,1.6 CRDi Creta Option SX,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,0,13800.625
Honda,Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,1,4968.224999999999
Maruti,Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,0,6624.299999999999
Audi,2.0 A4 Multitronic New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,0,19585.846999999998
Hyundai,EON Era Option Plus,Hyderabad,2012,75000,LPG,Manual,First,29.54,814.0,55.2,5.0,0,2594.5175
Nissan,Micra XV,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,0,3864.1749999999997
Toyota,2.8 8S Crysta GX Innova,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,1,19320.875
Volkswagen,Comfortline Vento,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,0,5741.06
Tata,Indica LS Quadrajet Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,0,2152.8975
Maruti,Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,1,10985.297499999999
Honda,1.5 City Sunroof V,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,0,4957.1845
Maruti,BSIV Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,0,6182.679999999999
Land,2.2L Pure Range Rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,0,29809.35
Land,2 Freelander Rover SE TD4,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,0,19320.875
Mitsubishi,4X4 Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,1,16560.75
Honda,Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,0,5961.87
Maruti,DDiS Swift VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,0,6613.2595
Renault,85PS Duster Plus RxL,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,0,6999.677
Mercedes-Benz,220 BE C C-Class CDI New,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,0,30913.399999999998
BMW,3 320d Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,1,20480.1275
Maruti,200 Alpha Cross DDiS S,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,0,9108.4125
Audi,2011-2015 35 A6 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,0,25945.175
Hyundai,1.2 Magna i20,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,0,2064.5735
Volkswagen,Highline Vento,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,0,3146.5425
Honda,City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,0,4692.2125
Nissan,Micra XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,0,4692.2125
Maruti,2010-2014 Alto K10 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,0,3036.1375
Honda,VX i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,1,10930.095
Toyota,2.5 7-seater Innova V,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,0,4416.2
Renault,110PS Duster Pack RxZ,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,0,8556.387499999999
Toyota,Altis Corolla G,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,0,7452.3375
Mahindra,RX7 Rexton Ssangyong,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,0,13800.625
Audi,2.7 A6,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,0,12696.574999999999
Volkswagen,1.6 Highline Vento,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,1,7706.269
Maruti,BSIII LXI R Wagon,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,0,2042.4925
Maruti,Brezza Plus Vitara ZDi,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,1,9527.951500000001
Mahindra,100 G80 KUV mFALCON,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,0,5354.642499999999
Mercedes-Benz,350 CDI M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,0,30913.399999999998
Volkswagen,1.2L Polo Trendline,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,0,5520.25
Maruti,Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,0,1380.0625
Tata,LX Nano SE,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,0,1689.1965
Mahindra,100 Dual KUV Tone mFALCON,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,0,6160.599
Hyundai,1.2 Magna Optional i20,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,0,5233.197
Hyundai,2.0 Elantra Option SX,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,1,9770.842499999999
Toyota,Altis Corolla G,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,0,11161.9455
Hyundai,CRDi Elantra,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,0,4692.2125
Toyota,2.7 Crysta GX Innova,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1,12089.347499999998
Hyundai,1.1 CRDi S Xcent,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,0,4250.5925
Mahindra,AC CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,0,6072.275
Audi,177 2.0 A4 Bhp Plus Premium,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,0,23659.7915
Maruti,LDI Swift,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,0,4692.2125
Maruti,BSIV Ldi Swift,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,0,3643.365
Maruti,Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,0,4250.5925
Hyundai,Grand Sportz i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,0,3974.58
Volkswagen,1.6 2013-2015 Comfortline Vento,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,0,4405.1595
Renault,KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,0,3643.365
Hyundai,Asta i10,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,0,2285.3835
Nissan,,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,0,8556.387499999999
Maruti,BSIII Estilo VXI Zen,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,0,2484.1124999999997
Toyota,2.4 8S Crysta GX Innova,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,1,18216.825
Ford,Figo Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,0,3036.1375
Mercedes-Benz,200 Avantgarde C C-Class CGI New,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,0,29478.135
