Name,Version,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Maruti,Cng Lxi R Wagon,Mumbai,2010,72000,CNG,Manual,First,37.24,998.0,58.16,5.0,,1.75
Hyundai,1.6 Crdi Creta Option Sx,Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,12.5
Honda,Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.61 Lakh,4.5
Maruti,Ertiga Vdi,Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,6.0
Audi,2.0 A4 Multitronic New Tdi,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,,17.74
Hyundai,Eon Era Lpg Option Plus,Hyderabad,2012,75000,LPG,Manual,First,29.54,814.0,55.2,5.0,,2.35
Nissan,Micra Xv,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,,3.5
Toyota,2.8 8s At Crysta Gx Innova,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,21 Lakh,17.5
Volkswagen,Comfortline Vento,Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,,5.2
Tata,Indica Ls Quadrajet Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,,1.95
Maruti,Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,10.65 Lakh,9.95
Honda,1.5 At City Sunroof V,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,,4.49
Maruti,Bsiv Swift Vdi,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,,5.6
Land,2.2l Pure Range Rover,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,,27.0
Land,2 Freelander Rover Se Td4,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,,17.5
Mitsubishi,4x4 Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,32.01 Lakh,15.0
Honda,Amaze I-dtech S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,,5.4
Maruti,Ddis Swift Vdi,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,,5.99
