Name,Year,Fuel_Type,Price
Maruti,2010,CNG,1938.86
Hyundai,2015,Diesel,13849.03
Honda,2011,Petrol,4985.65
Maruti,2012,Diesel,6647.54
Audi,2013,Diesel,19654.55
Hyundai,2012,LPG,2603.62
Nissan,2013,Diesel,3877.73
Toyota,2016,Diesel,19388.65
Volkswagen,2013,Diesel,5761.2
Tata,2012,Diesel,2160.45
Maruti,2018,Petrol,11023.83
Honda,2012,Petrol,4974.57
Maruti,2015,Diesel,6204.37
Land Rover,2014,Diesel,29913.91
Land Rover,2012,Diesel,19388.65
Mitsubishi,2014,Diesel,16618.84
Honda,2016,Diesel,5982.78
Maruti,2017,Diesel,6636.46
Renault,2014,Diesel,7024.23
Mercedes-Benz,2014,Diesel,31021.84
BMW,2014,Diesel,20551.97
Maruti,2015,Diesel,9140.36
Audi,2015,Petrol,26036.18
Hyundai,2010,Petrol,2071.82
Volkswagen,2010,Petrol,3157.58
Honda,2012,Petrol,4708.67
Nissan,2012,Diesel,4708.67
Maruti,2013,Petrol,3046.79
Honda,2018,Petrol,10968.44
Toyota,2007,Diesel,4431.69
Renault,2013,Diesel,8586.4
Toyota,2012,Petrol,7478.48
Mahindra,2013,Diesel,13849.03
Audi,2010,Diesel,12741.11
Volkswagen,2014,Petrol,7733.3
Maruti,2009,Petrol,2049.66
Maruti,2018,Diesel,9561.37
Mahindra,2017,Petrol,5373.43
Mercedes-Benz,2013,Diesel,31021.84
Volkswagen,2013,Diesel,5539.61
Maruti,2008,Petrol,1384.9
Tata,2014,Petrol,1695.12
Mahindra,2017,Diesel,6182.21
Hyundai,2014,Petrol,5251.55
Hyundai,2014,Petrol,9805.12
Toyota,2016,Petrol,11201.1
Hyundai,2008,Diesel,4708.67
Toyota,2012,Petrol,12131.75
Hyundai,2014,Diesel,4265.5
Mahindra,2012,Diesel,6093.58
Audi,2015,Diesel,23742.78
Maruti,2014,Diesel,4708.67
Maruti,2014,Diesel,3656.15
Maruti,2013,Diesel,4265.5
Hyundai,2015,Petrol,3988.52
Volkswagen,2015,Petrol,4420.61
Renault,2017,Petrol,3656.15
Hyundai,2010,Petrol,2293.4
Nissan,2010,Diesel,8586.4
Maruti,2010,Petrol,2492.83
Toyota,2017,Diesel,18280.73
Ford,2010,Diesel,3046.79
Mercedes-Benz,2015,Petrol,29581.54
Mercedes-Benz,2011,Diesel,11079.23
Tata,2016,Diesel,2769.81
Audi,2012,Diesel,14956.96
Honda,2007,Petrol,2049.66
Mercedes-Benz,2019,Diesel,39519.6
Maruti,2016,Diesel,9029.57
Hyundai,2018,Diesel,11633.19
Porsche,2008,Petrol,16064.88
Mahindra,2015,Diesel,10691.45
Hyundai,2012,Petrol,3855.57
Nissan,2015,Diesel,7666.83
Honda,2016,Petrol,7157.18
Audi,2014,Diesel,32683.72
Ford,2008,Diesel,2215.85
Toyota,2006,Petrol,4985.65
Toyota,2012,Diesel,13018.09
Hyundai,2005,Petrol,1440.3
