Name,Location,Year,Fuel_Type,Transmission,Owner_Type
Maruti,Mumbai,2010,CNG,Manual,First
Hyundai,Pune,2015,Diesel,Manual,First
Honda,Chennai,2011,Petrol,Manual,First
Maruti,Chennai,2012,Diesel,Manual,First
Audi,Coimbatore,2013,Diesel,Automatic,Second
Hyundai,Hyderabad,2012,LPG,Manual,First
Nissan,Jaipur,2013,Diesel,Manual,First
Toyota,Mumbai,2016,Diesel,Automatic,First
Volkswagen,Pune,2013,Diesel,Manual,First
Tata,Chennai,2012,Diesel,Manual,Second
Maruti,Kochi,2018,Petrol,Manual,First
Honda,Kolkata,2012,Petrol,Automatic,First
Maruti,Jaipur,2015,Diesel,Manual,First
Land Rover,Delhi,2014,Diesel,Automatic,First
Land Rover,Pune,2012,Diesel,Automatic,Second
Mitsubishi,Delhi,2014,Diesel,Manual,First
Honda,Kochi,2016,Diesel,Manual,First
Maruti,Jaipur,2017,Diesel,Manual,First
Renault,Kochi,2014,Diesel,Manual,First
Mercedes-Benz,Bangalore,2014,Diesel,Automatic,First
BMW,Kochi,2014,Diesel,Automatic,First
Maruti,Bangalore,2015,Diesel,Manual,Second
Audi,Mumbai,2015,Petrol,Automatic,First
Hyundai,Kolkata,2010,Petrol,Manual,First
Volkswagen,Kolkata,2010,Petrol,Automatic,First
Honda,Mumbai,2012,Petrol,Manual,First
Nissan,Hyderabad,2012,Diesel,Manual,First
Maruti,Hyderabad,2013,Petrol,Manual,Second
Honda,Kochi,2018,Petrol,Manual,First
Toyota,Mumbai,2007,Diesel,Manual,Fourth & Above
Renault,Bangalore,2013,Diesel,Manual,First
Toyota,Delhi,2012,Petrol,Manual,First
Mahindra,Bangalore,2013,Diesel,Automatic,Second
Audi,Kolkata,2010,Diesel,Automatic,First
Volkswagen,Coimbatore,2014,Petrol,Manual,Second
Maruti,Jaipur,2009,Petrol,Manual,Second
Maruti,Kochi,2018,Diesel,Manual,First
Mahindra,Delhi,2017,Petrol,Manual,First
Mercedes-Benz,Pune,2013,Diesel,Automatic,First
Volkswagen,Chennai,2013,Diesel,Manual,First
Maruti,Delhi,2008,Petrol,Manual,Second
Tata,Kochi,2014,Petrol,Manual,First
